time_seconds,temperature_celsius
0,25.0
1,26.4
2,27.8
3,29.2
4,30.6
5,31.9
6,33.3
7,34.7
8,36.1
9,37.5
10,38.9
11,40.3
12,41.7
13,43.1
14,44.4
15,45.8
16,47.2
17,48.6
18,50.0
19,51.4
20,52.8
21,54.2
22,55.6
23,56.9
24,58.3
25,59.7
26,61.1
27,62.5
28,63.9
29,65.3
30,66.7
31,68.1
32,69.4
33,70.8
34,72.2
35,73.6
36,75.0
37,76.4
38,77.8
39,79.2
40,80.6
41,81.9
42,83.3
43,84.7
44,86.1
45,87.5
46,88.9
47,90.3
48,91.7
49,93.1
50,94.4
51,95.8
52,97.2
53,98.6
54,100.0
55,101.4
56,102.8
57,104.2
58,105.6
59,106.9
60,108.3
61,109.7
62,111.1
63,112.5
64,113.9
65,115.3
66,116.7
67,118.1
68,119.4
69,120.8
70,122.2
71,123.6
72,125.0
73,126.4
74,127.8
75,129.2
76,130.6
77,131.9
78,133.3
79,134.7
80,136.1
81,137.5
82,138.9
83,140.3
84,141.7
85,143.1
86,144.4
87,145.8
88,147.2
89,148.6
90,150.0
91,150.2
92,150.5
93,150.8
94,151.0
95,151.2
96,151.5
97,151.8
98,152.0
99,152.2
100,152.5
101,152.8
102,153.0
103,153.2
104,153.5
105,153.8
106,154.0
107,154.2
108,154.5
109,154.8
110,155.0
111,155.2
112,155.5
113,155.8
114,156.0
115,156.2
116,156.5
117,156.8
118,157.0
119,157.2
120,157.5
121,157.8
122,158.0
123,158.2
124,158.5
125,158.8
126,159.0
127,159.2
128,159.5
129,159.8
130,160.0
131,160.2
132,160.5
133,160.8
134,161.0
135,161.2
136,161.5
137,161.8
138,162.0
139,162.2
140,162.5
141,162.8
142,163.0
143,163.2
144,163.5
145,163.8
146,164.0
147,164.2
148,164.5
149,164.8
150,165.0
151,165.2
152,165.5
153,165.8
154,166.0
155,166.2
156,166.5
157,166.8
158,167.0
159,167.2
160,167.5
161,167.8
162,168.0
163,168.2
164,168.5
165,168.8
166,169.0
167,169.2
168,169.5
169,169.8
170,170.0
171,170.2
172,170.5
173,170.8
174,171.0
175,171.2
176,171.5
177,171.8
178,172.0
179,172.2
180,172.5
181,172.8
182,173.0
183,173.2
184,173.5
185,173.8
186,174.0
187,174.2
188,174.5
189,174.8
190,175.0
191,175.2
192,175.5
193,175.8
194,176.0
195,176.2
196,176.5
197,176.8
198,177.0
199,177.2
200,177.5
201,177.8
202,178.0
203,178.2
204,178.5
205,178.8
206,179.0
207,179.2
208,179.5
209,179.8
210,180.0
211,181.1
212,182.2
213,183.2
214,184.3
215,185.4
216,186.5
217,187.6
218,188.7
219,189.8
220,190.8
221,191.9
222,193.0
223,194.1
224,195.2
225,196.2
226,197.3
227,198.4
228,199.5
229,200.6
230,201.7
231,202.8
232,203.8
233,204.9
234,206.0
235,207.1
236,208.2
237,209.2
238,210.3
239,211.4
240,212.5
241,213.6
242,214.7
243,215.8
244,216.8
245,217.9
246,219.0
247,220.1
248,221.2
249,222.2
250,223.3
251,224.4
252,225.5
253,226.6
254,227.7
255,228.8
256,229.8
257,230.9
258,232.0
259,233.1
260,234.2
261,235.2
262,236.3
263,237.4
264,238.5
265,239.6
266,240.7
267,241.8
268,242.8
269,243.9
270,245.0
271,243.4
272,241.8
273,240.2
274,238.6
275,236.9
276,235.3
277,233.7
278,232.1
279,230.5
280,228.9
281,227.3
282,225.7
283,224.1
284,222.4
285,220.8
286,219.2
287,217.6
288,216.0
289,214.4
290,212.8
291,211.2
292,209.6
293,207.9
294,206.3
295,204.7
296,203.1
297,201.5
298,199.9
299,198.3
300,196.7
301,195.1
302,193.4
303,191.8
304,190.2
305,188.6
306,187.0
307,185.4
308,183.8
309,182.2
310,180.6
311,178.9
312,177.3
313,175.7
314,174.1
315,172.5
316,170.9
317,169.3
318,167.7
319,166.1
320,164.4
321,162.8
322,161.2
323,159.6
324,158.0
325,156.4
326,154.8
327,153.2
328,151.6
329,149.9
330,148.3
331,146.7
332,145.1
333,143.5
334,141.9
335,140.3
336,138.7
337,137.1
338,135.4
339,133.8
340,132.2
341,130.6
342,129.0
343,127.4
344,125.8
345,124.2
346,122.6
347,120.9
348,119.3
349,117.7
350,116.1
351,114.5
352,112.9
353,111.3
354,109.7
355,108.1
356,106.4
357,104.8
358,103.2
359,101.6
360,100.0
